Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$2.35,-0.1249,-5.047%,6003103.00,United States,,2531,Finance,Real Estate
ACU,Acme United Corporation. Common Stock,$35.36,-0.17,-0.478%,129484077.00,United States,1988,21924,Consumer Discretionary,Industrial Machinery/Components
ADRT,Ault Disruptive Technologies Corporation Common Stock,$13.50,0.00,0.00%,194062500.00,,2022,7468,Finance,Blank Checks
AE,Adams Resources & Energy Inc. Common Stock,$25.88,0.13,0.505%,66436652.00,United States,1980,4286,Energy,Oil Refining/Marketing
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,$5.24,0.01,0.191%,562579500.00,United States,,49179,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$1.44,-0.06,-4.00%,56336023.00,United States,,105029,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.363,0.014,4.011%,18615162.00,United States,1997,151033,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$4.82,-0.01,-0.207%,16535010.00,United States,2014,16447,Consumer Discretionary,Professional Services
AIRI,Air Industries Group Common Stock,$3.70,-0.07,-1.857%,12301705.00,United States,,29348,Industrials,Military/Government/Technical
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$3.38,-0.23,-6.371%,187352896.00,,,1703,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),$1.28,0.0599,4.909%,3656161.00,China,,1740,Real Estate,Other Consumer Services
AMS,American Shared Hospital Services Common Stock,$3.33,0.03,0.909%,21078900.00,United States,1988,1979,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$5.31,0.19,3.711%,62066997.00,Canada,2000,47335,,
AREN,The Arena Group Holdings Inc. Common Stock,$0.855,0.015,1.786%,25307944.00,United States,2022,2954,Technology,EDP Services
ARMN,Aris Mining Corporation Common Shares,$4.41,0.05,1.147%,671006941.00,,2023,311111,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$2.70,0.10,3.846%,97617466.00,United States,,17379,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.07,0.00,0.00%,142382979.00,Canada,,1271219,Basic Materials,Metal Mining
ASXC,Asensus Surgical Inc. Common Stock,$0.2302,-0.0069,-2.91%,62690752.00,United States,,753134,Health Care,Medical/Dental Instruments
ATCH,AtlasClear Holdings Inc. Common Stock,$1.24,0.12,10.714%,15444395.00,,2024,106880,Finance,Finance: Consumer Services
ATEK,Athena Technology Acquisition Corp. II Class A Common Stock,$11.32,0.00,0.00%,0.00,,2022,113,Finance,Blank Checks
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$8.11,0.11,1.375%,241543788.00,United States,,203068,Health Care,Biotechnology: Pharmaceutical Preparations
AULT,Ault Alliance Inc. Common Stock,$0.336,0.006,1.818%,10101954.00,United States,1997,1470982,Technology,Industrial Machinery/Components
AULT^D,Ault Alliance Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$27.34,0.64,2.397%,,United States,,2945,,
AUMN,Golden Minerals Company Common Stock,$0.48,-0.0059,-1.214%,6996569.00,United States,,34280,Basic Materials,Precious Metals
AUST,Austin Gold Corp. Common Shares,$0.9151,-0.0015,-0.164%,12144978.00,,2022,37074,,
AWX,Avalon Holdings Corporation Common Stock,$2.37,0.00,0.00%,9241651.00,United States,1998,4503,Utilities,Environmental Services
AXIL,AXIL Brands Inc. Common Stock,$8.9459,-0.1741,-1.909%,52592400.00,,2024,1186,Consumer Discretionary,Package Goods/Cosmetics
AZTR,Azitra Inc Common Stock,$0.195,-0.01,-4.878%,5616905.00,,2023,442838,Health Care,Biotechnology: Pharmaceutical Preparations
BACA,Berenson Acquisition Corp. I Class A Common Stock,$10.58,0.00,0.00%,0.00,,2021,105,Finance,Blank Checks
BATL,Battalion Oil Corporation Common Stock,$5.82,0.01,0.172%,95777197.00,United States,,4082,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$15.52,-0.01,-0.064%,0.00,United States,1972,12369,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$22.12,-0.13,-0.584%,,United States,,2647,,
BDL,Flanigan's Enterprises Inc. Common Stock,$28.25,0.14,0.498%,52506778.00,United States,1972,712,Consumer Discretionary,Restaurants
BEEP,Mobile Infrastructure Corporation Common Stock,$3.42,-0.02,-0.581%,0.00,,2023,123726,Finance,Blank Checks
BGI,Birks Group Inc. Common Stock,$2.8499,0.0599,2.147%,31263403.00,Canada,,1265,,
BHB,Bar Harbor Bankshares Inc. Common Stock,$25.84,0.70,2.784%,393605862.00,United States,1997,24328,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$16.70,-0.275,-1.62%,66102558.00,,2022,1857,Real Estate,Real Estate Investment Trusts
BITE,Bite Acquisition Corp. Common Stock,$8.85,-0.35,-3.804%,0.00,,2021,6359,Finance,Blank Checks
BKTI,BK Technologies Corporation Common Stock,$13.70,-0.45,-3.18%,48357054.00,United States,,28799,Technology,Radio And Television Broadcasting And Communications Equipment
BLUA,BlueRiver Acquisition Corp. Class A Ordinary Shares,$11.10,0.0234,0.211%,0.00,,2021,144,Finance,Blank Checks
BMTX,BM Technologies Inc. Common Stock,$3.31,-0.34,-9.315%,39893974.00,,2018,74827,Finance,Major Banks
BQ,Boqii Holding Limited American Depositary Shares representing Class A Ordinary Shares,$0.44,0.0889,25.32%,2863589.00,,2020,2326551,Consumer Discretionary,Other Specialty Stores
BRBS,Blue Ridge Bankshares Inc. Common Stock,$3.02,0.17,5.965%,69407518.00,United States,,50819,Finance,Major Banks
BRN,Barnwell Industries Inc. Common Stock,$2.86,-0.06,-2.055%,28680337.00,United States,1965,14053,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$2.85,0.07,2.518%,3713404556.00,Canada,,6617740,,
BTTR,Better Choice Company Inc. Common Stock,$3.80,-0.06,-1.554%,3395688.00,,2021,29258,Consumer Staples,Beverages (Production/Distribution)
BURU,Nuburu Inc. Common Stock,$0.16,-0.021,-11.602%,6166884.00,United States,2020,26895838,Miscellaneous,Industrial Machinery/Components
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.36,0.06,2.609%,10697387.00,Israel,,18570,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$1.32,-0.03,-2.222%,821870330.00,United States,,3465825,Health Care,Medical/Dental Instruments
CCEL,Cryo-Cell International Inc. Common Stock,$8.81,-0.39,-4.239%,71400442.00,United States,2022,5716,Health Care,Misc Health and Biotechnology Services
CEI,Camber Energy Inc. Common Stock,$0.1687,-0.0005,-0.296%,29657539.00,United States,,6267743,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$42.79,0.28,0.659%,10356258308.00,United States,1951,33711,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$10.45,0.02,0.192%,73500859.00,United States,1999,16457,Finance,Investment Bankers/Brokers/Service
